timestep,episode,reward,length
1073,0,-8.099999999999998,50
1123,1,-6.899999999999999,50
1173,2,-7.499999999999998,50
1223,3,-8.099999999999998,50
1273,4,-8.7,50
1323,5,-7.499999999999998,50
1373,6,-8.099999999999998,50
1423,7,-7.499999999999998,50
1473,8,-8.7,50
1523,9,-7.499999999999998,50
1573,10,-6.299999999999999,50
1623,11,-8.7,50
1673,12,-8.099999999999998,50
1723,13,-8.7,50
1773,14,-7.499999999999998,50
1823,15,-6.899999999999999,50
1873,16,-7.499999999999998,50
1923,17,-6.899999999999999,50
1973,18,-8.099999999999998,50
2023,19,-7.499999999999998,50
2073,20,-7.499999999999998,50
2123,21,-8.099999999999998,50
2173,22,-8.7,50
2223,23,-7.499999999999998,50
2273,24,-8.7,50
2323,25,-8.099999999999998,50
2373,26,-6.899999999999999,50
2423,27,-6.899999999999999,50
2473,28,-8.099999999999998,50
2523,29,-6.899999999999999,50
2573,30,-7.499999999999998,50
2623,31,-6.899999999999999,50
2673,32,-8.099999999999998,50
2723,33,-7.499999999999998,50
2773,34,-8.099999999999998,50
2823,35,-8.099999999999998,50
2873,36,-8.099999999999998,50
2923,37,-6.299999999999999,50
2973,38,-8.099999999999998,50
3023,39,-8.099999999999998,50
3073,40,-8.099999999999998,50
3123,41,-8.7,50
3173,42,-8.099999999999998,50
3223,43,-8.7,50
3273,44,-8.7,50
3323,45,-8.7,50
3373,46,-6.899999999999999,50
3423,47,-6.899999999999999,50
3473,48,-8.7,50
3523,49,-8.7,50
3573,50,-8.099999999999998,50
3623,51,-8.7,50
3673,52,-8.7,50
3723,53,-8.099999999999998,50
3773,54,-8.099999999999998,50
3823,55,-8.099999999999998,50
3873,56,-5.099999999999998,50
3923,57,-8.7,50
3973,58,-8.099999999999998,50
4023,59,-8.7,50
4073,60,-7.499999999999998,50
4123,61,-8.7,50
4173,62,-7.499999999999998,50
4223,63,-8.7,50
4273,64,-8.099999999999998,50
4323,65,-7.499999999999998,50
4373,66,-8.099999999999998,50
4423,67,-8.099999999999998,50
4473,68,-7.499999999999998,50
4523,69,-8.7,50
4573,70,-8.099999999999998,50
4623,71,-7.499999999999998,50
4673,72,-8.099999999999998,50
4723,73,-8.099999999999998,50
4773,74,-8.099999999999998,50
4823,75,-8.099999999999998,50
4873,76,-8.7,50
4923,77,-7.499999999999998,50
4973,78,-8.7,50
5023,79,-8.099999999999998,50
5073,80,-8.7,50
5123,81,-8.099999999999998,50
5173,82,-8.099999999999998,50
5223,83,-8.7,50
5273,84,-8.099999999999998,50
5323,85,-6.299999999999999,50
5373,86,-8.099999999999998,50
5423,87,-6.899999999999999,50
5473,88,-7.499999999999998,50
5523,89,-8.7,50
5573,90,-7.499999999999998,50
5623,91,-8.099999999999998,50
5673,92,-6.899999999999999,50
5723,93,-6.899999999999999,50
5773,94,-6.299999999999999,50
5823,95,-8.099999999999998,50
5873,96,-6.899999999999999,50
5923,97,-8.7,50
5973,98,-6.299999999999999,50
6023,99,-8.7,50
6073,100,-8.099999999999998,50
6123,101,-8.7,50
6173,102,-7.499999999999998,50
6223,103,-7.499999999999998,50
6273,104,-8.099999999999998,50
6323,105,-8.099999999999998,50
6373,106,-8.099999999999998,50
6423,107,-6.899999999999999,50
6473,108,-7.499999999999998,50
6523,109,-5.699999999999998,50
6573,110,-8.099999999999998,50
6623,111,-5.099999999999998,50
6673,112,-7.499999999999998,50
6723,113,-8.099999999999998,50
6773,114,-7.499999999999998,50
6823,115,-8.099999999999998,50
6873,116,-7.499999999999998,50
6923,117,-5.699999999999998,50
6973,118,-6.299999999999999,50
7023,119,-5.699999999999998,50
7073,120,-6.299999999999999,50
7123,121,-7.499999999999998,50
7173,122,-8.099999999999998,50
7223,123,-1.4999999999999982,50
7273,124,-5.099999999999998,50
7323,125,-3.899999999999998,50
7373,126,-7.499999999999998,50
7423,127,-2.099999999999998,50
7473,128,-7.499999999999998,50
7523,129,-5.699999999999998,50
7573,130,-6.899999999999999,50
7623,131,-8.099999999999998,50
7673,132,-5.699999999999998,50
7723,133,-6.299999999999999,50
7773,134,-7.499999999999998,50
7823,135,-6.299999999999999,50
7873,136,-6.299999999999999,50
7923,137,-5.099999999999998,50
7973,138,-8.099999999999998,50
8023,139,-6.899999999999999,50
8073,140,-7.499999999999998,50
8123,141,-6.299999999999999,50
8173,142,-4.499999999999998,50
8223,143,-5.099999999999998,50
8273,144,-2.099999999999998,50
8323,145,-7.499999999999998,50
8373,146,-6.899999999999999,50
8423,147,-6.899999999999999,50
8473,148,-4.499999999999998,50
8523,149,-3.299999999999998,50
8573,150,-5.699999999999998,50
8623,151,-3.899999999999998,50
8673,152,-2.699999999999998,50
8723,153,-3.299999999999998,50
8773,154,-3.299999999999998,50
8823,155,-8.099999999999998,50
8873,156,-5.099999999999998,50
